Inek_ID,Irk,Yas,Agirlik_kg,Dogum_Sayisi,Laktasyon_Asamasi,Ureme_Durumu,Yem_Tipi,Yem_Miktari_kg_gun,Yemleme_Sikligi,Su_Tuketimi_L_gun,Walking_Distance(km/day),Grazing_Duration(hrs/day),Rumination_Time(hrs/day),Resting_Hours(hrs/day),Vucut_Sicakligi_C,Nabiz_bpm,Asi_Durumu,Gecmis_Hastaliklar,Saglik_Uyarilari,Ortam_Sicakligi_C,Nem_Yuzde,Mevsim,Barinak_Kosullari,Sut_Verimi_L_gun
COW_0142,Sahiwal,2,458,5,Late,Open,Green Fodder,21.3,4,31,1.02,4.4,6.1,10.3,39.3,52,Yes,Digestive Disorder,Normal,15.6,54,Monsoon,Poor,11.7
COW_0143,Sahiwal,10,521,5,Dry,Pregnant,Dry Fodder,10.8,3,66,3.53,7.1,7.2,9.9,38.9,71,No,Mastitis,Normal,31.8,56,Winter,Poor,18.7
COW_0144,Gir,4,454,2,Early,Inseminated,Concentrate,19.9,4,43,4.06,6.6,7.1,8.9,38.1,42,No,Digestive Disorder,Low Activity,35.7,79,Monsoon,Moderate,15.1
COW_0145,Holstein,9,476,5,Dry,Open,Green Fodder,18.9,4,52,3.25,2.7,5.0,10.5,38.2,46,No,Digestive Disorder,Normal,39.5,63,Summer,Poor,9.1
COW_0146,Jersey,8,457,6,Dry,Pregnant,Concentrate,23.8,2,64,2.86,4.2,8.2,10.3,38.7,55,Yes,Mastitis,High Temp,36.5,31,Winter,Poor,6.3
COW_0147,Jersey,4,332,5,Early,Open,Dry Fodder,14.3,3,35,1.48,6.4,4.0,9.9,39.4,64,Yes,Mastitis,High Temp,33.0,58,Summer,Clean,11.8
COW_0148,Sahiwal,2,343,3,Mid,Open,Concentrate,12.7,4,50,4.62,2.5,7.5,10.0,38.2,51,Yes,None,Low Activity,24.3,77,Winter,Poor,7.0
COW_0149,Gir,3,541,1,Mid,Open,Concentrate,17.7,2,65,2.53,7.0,5.0,10.2,38.3,42,No,FMD,Low Activity,22.9,42,Summer,Poor,9.7
COW_0150,Holstein,4,579,1,Late,Open,Concentrate,24.7,3,66,3.2,4.6,5.9,7.7,39.3,66,Yes,Digestive Disorder,Normal,20.8,33,Monsoon,Moderate,17.2
COW_0151,Gir,10,408,1,Late,Inseminated,Green Fodder,17.5,4,32,3.23,6.7,6.5,9.7,37.9,44,Yes,FMD,High Temp,17.2,43,Summer,Clean,10.3
COW_0152,Sahiwal,9,544,2,Mid,Inseminated,Green Fodder,14.0,3,46,1.17,6.6,8.8,9.7,39.0,72,No,None,Low Activity,19.2,78,Monsoon,Poor,11.8
COW_0153,Sahiwal,10,422,2,Early,Pregnant,Green Fodder,21.7,2,53,4.37,6.4,7.9,11.0,37.9,46,No,Mastitis,Normal,31.1,80,Winter,Poor,6.2
COW_0154,Gir,6,435,5,Dry,Inseminated,Concentrate,11.7,2,62,4.58,5.8,8.2,7.3,38.7,80,Yes,FMD,Low Activity,27.3,58,Winter,Moderate,19.7
COW_0155,Holstein,6,470,6,Early,Pregnant,Green Fodder,17.1,4,48,1.78,7.7,4.6,10.4,38.4,55,No,FMD,Low Activity,20.6,54,Winter,Poor,9.4
COW_0156,Holstein,6,493,2,Dry,Open,Concentrate,23.2,4,52,3.96,2.9,5.6,10.8,39.1,69,Yes,FMD,Normal,37.6,64,Monsoon,Moderate,15.6
COW_0157,Gir,10,332,5,Early,Inseminated,Green Fodder,16.4,4,52,1.89,4.4,7.7,6.9,39.2,68,Yes,Digestive Disorder,High Temp,37.2,31,Winter,Clean,9.3
COW_0158,Gir,5,367,3,Early,Open,Dry Fodder,19.2,2,62,3.51,3.0,8.5,10.1,38.9,60,Yes,Mastitis,High Temp,15.3,55,Winter,Poor,5.4
COW_0159,Gir,3,421,4,Early,Open,Concentrate,20.5,3,46,3.39,7.9,8.0,7.2,39.0,57,No,Digestive Disorder,Normal,21.4,67,Summer,Poor,5.5
COW_0160,Holstein,9,454,3,Dry,Open,Concentrate,17.6,4,36,1.46,2.6,6.9,11.5,37.6,49,Yes,Mastitis,High Temp,39.1,49,Winter,Moderate,16.7
COW_0161,Gir,5,519,1,Early,Inseminated,Green Fodder,20.0,4,59,3.37,6.2,8.5,7.3,39.2,66,Yes,Mastitis,High Temp,23.9,70,Winter,Clean,5.3
COW_0162,Holstein,10,425,6,Late,Inseminated,Concentrate,21.3,2,36,2.43,5.9,5.3,11.1,38.2,41,No,Digestive Disorder,Normal,32.4,68,Winter,Poor,19.7
COW_0163,Sahiwal,6,337,1,Dry,Pregnant,Dry Fodder,16.4,3,49,2.09,6.2,8.5,7.6,39.1,52,No,Mastitis,Low Activity,37.8,30,Summer,Clean,8.2
COW_0164,Jersey,8,520,4,Dry,Pregnant,Green Fodder,23.8,2,67,1.78,6.2,4.5,11.2,38.9,62,No,FMD,High Temp,33.9,71,Winter,Clean,8.4
COW_0165,Jersey,3,498,4,Dry,Inseminated,Concentrate,20.5,4,68,4.78,6.1,7.2,7.5,37.6,70,Yes,Digestive Disorder,Normal,17.0,34,Winter,Poor,6.3
COW_0166,Gir,6,327,3,Mid,Open,Green Fodder,20.0,3,54,4.02,3.5,5.0,10.6,38.9,57,No,Digestive Disorder,Low Activity,19.6,57,Winter,Clean,18.2
COW_0167,Gir,3,473,6,Late,Inseminated,Concentrate,18.3,4,57,4.41,5.5,6.5,9.7,39.0,59,Yes,Digestive Disorder,High Temp,32.2,36,Winter,Clean,19.8
COW_0168,Gir,4,564,1,Dry,Pregnant,Green Fodder,20.3,4,54,3.23,7.5,9.5,6.8,38.8,70,No,Mastitis,High Temp,18.4,36,Summer,Moderate,9.4
COW_0169,Gir,8,456,6,Dry,Inseminated,Dry Fodder,16.0,3,35,1.12,4.2,9.7,6.2,39.4,63,No,FMD,Normal,26.4,74,Summer,Poor,14.5
COW_0170,Gir,4,484,2,Dry,Open,Dry Fodder,23.8,4,47,3.02,8.0,7.2,8.2,37.7,50,No,Mastitis,Normal,18.4,69,Summer,Poor,18.8
COW_0171,Sahiwal,9,442,3,Mid,Inseminated,Concentrate,22.2,2,45,3.9,2.9,9.0,9.7,38.9,68,No,Digestive Disorder,Normal,38.6,31,Winter,Clean,17.8
COW_0172,Holstein,8,304,4,Late,Open,Dry Fodder,14.3,3,49,2.32,3.7,7.6,10.7,39.2,70,Yes,FMD,High Temp,26.4,52,Winter,Moderate,5.5
COW_0173,Holstein,2,382,3,Dry,Pregnant,Concentrate,18.0,2,52,1.23,5.6,7.9,9.8,38.3,58,No,None,High Temp,33.1,81,Winter,Moderate,6.9
COW_0174,Jersey,5,464,6,Late,Open,Concentrate,18.7,4,41,2.57,3.5,6.8,7.3,38.3,60,Yes,None,High Temp,37.4,63,Summer,Clean,13.4
COW_0175,Sahiwal,2,455,1,Early,Inseminated,Dry Fodder,13.9,4,38,4.98,3.6,9.0,8.3,38.5,65,No,FMD,Low Activity,37.6,46,Summer,Moderate,17.4
COW_0176,Sahiwal,5,351,5,Mid,Inseminated,Green Fodder,13.1,3,59,4.99,7.8,5.0,6.1,37.5,56,Yes,None,Normal,39.9,69,Monsoon,Poor,9.6
COW_0177,Jersey,9,563,4,Early,Open,Green Fodder,14.3,4,31,4.95,3.8,4.8,9.6,37.6,65,No,Digestive Disorder,High Temp,34.4,43,Winter,Poor,6.0
COW_0178,Sahiwal,6,446,4,Dry,Inseminated,Concentrate,14.2,3,69,4.59,3.7,4.4,6.6,38.9,55,Yes,None,Low Activity,21.2,75,Monsoon,Poor,12.1
COW_0179,Sahiwal,4,443,1,Early,Open,Concentrate,13.4,2,53,2.18,6.7,6.5,10.4,38.9,62,No,None,Low Activity,18.5,70,Winter,Poor,16.9
COW_0180,Holstein,5,433,4,Late,Pregnant,Dry Fodder,13.0,2,41,2.26,2.1,4.9,11.8,38.0,79,Yes,Mastitis,High Temp,21.3,83,Winter,Poor,6.0
COW_0181,Gir,2,468,1,Late,Inseminated,Dry Fodder,19.9,4,48,3.32,2.9,8.0,6.5,37.8,78,No,FMD,Normal,28.8,58,Winter,Moderate,15.2
COW_0182,Gir,7,569,4,Dry,Open,Concentrate,14.9,3,45,4.65,3.0,6.6,11.7,38.4,62,Yes,Mastitis,High Temp,20.1,36,Monsoon,Clean,18.9
COW_0183,Holstein,6,477,2,Dry,Inseminated,Concentrate,13.5,2,59,2.35,4.7,5.4,10.0,39.3,70,No,None,Low Activity,28.8,37,Summer,Poor,16.9
COW_0184,Jersey,3,334,2,Early,Inseminated,Green Fodder,10.5,3,55,3.72,5.7,8.2,6.1,37.8,58,Yes,Mastitis,Normal,29.3,82,Summer,Moderate,5.2
COW_0185,Jersey,10,492,6,Dry,Inseminated,Dry Fodder,19.4,2,40,1.85,5.5,7.8,8.7,37.6,56,No,None,Normal,24.1,76,Winter,Poor,11.9
COW_0186,Gir,7,349,1,Mid,Open,Concentrate,11.9,4,42,3.3,2.3,5.9,6.5,38.7,59,Yes,FMD,High Temp,31.1,41,Monsoon,Moderate,6.4
COW_0187,Jersey,3,589,3,Dry,Open,Green Fodder,15.9,3,31,3.59,6.0,9.9,7.8,37.9,73,No,Mastitis,Low Activity,30.0,77,Monsoon,Poor,18.6
COW_0188,Jersey,10,587,3,Early,Inseminated,Concentrate,24.7,3,68,2.37,3.4,4.8,9.0,39.3,50,No,None,Normal,23.1,34,Monsoon,Poor,8.1
COW_0189,Gir,10,353,4,Mid,Inseminated,Concentrate,20.9,2,46,3.28,5.6,4.5,6.6,39.1,73,No,FMD,Low Activity,21.9,58,Monsoon,Poor,14.4
COW_0190,Jersey,2,551,5,Mid,Open,Green Fodder,19.4,4,48,4.37,5.3,7.2,7.4,38.0,48,No,Digestive Disorder,Low Activity,27.6,64,Summer,Moderate,17.2
COW_0191,Jersey,3,444,5,Dry,Inseminated,Green Fodder,23.9,2,70,3.43,5.1,6.9,11.1,39.4,72,No,Mastitis,Low Activity,24.5,53,Monsoon,Clean,17.3
COW_0192,Gir,6,467,1,Dry,Open,Green Fodder,20.2,4,51,3.25,4.7,9.4,7.3,39.4,58,Yes,FMD,Normal,15.3,79,Summer,Poor,18.0
COW_0193,Jersey,3,460,6,Early,Pregnant,Concentrate,20.5,2,66,2.09,5.8,8.4,6.9,38.6,44,No,None,Low Activity,20.1,44,Winter,Poor,17.4
COW_0194,Jersey,6,484,4,Mid,Open,Green Fodder,13.6,2,48,1.83,5.0,4.0,6.6,39.5,78,No,Mastitis,Low Activity,18.8,71,Winter,Clean,12.5
COW_0195,Holstein,5,509,4,Mid,Open,Green Fodder,11.2,3,58,3.96,6.8,5.6,6.4,38.4,43,Yes,Mastitis,High Temp,26.9,90,Winter,Moderate,13.7
COW_0196,Holstein,8,445,3,Late,Inseminated,Dry Fodder,11.4,3,61,4.24,4.2,8.3,8.8,38.5,46,Yes,Digestive Disorder,Low Activity,29.6,62,Summer,Poor,12.6
COW_0197,Sahiwal,8,507,4,Mid,Pregnant,Dry Fodder,14.6,3,57,3.47,4.9,9.5,9.4,37.6,66,No,Digestive Disorder,Low Activity,32.9,85,Winter,Clean,6.9
COW_0198,Sahiwal,5,423,4,Late,Inseminated,Dry Fodder,19.7,2,38,1.45,3.1,6.0,11.0,39.4,73,No,None,Low Activity,32.3,82,Monsoon,Clean,6.5
COW_0199,Sahiwal,2,439,1,Dry,Inseminated,Green Fodder,16.9,3,59,2.64,4.9,10.0,11.2,39.4,64,No,Mastitis,High Temp,31.8,79,Summer,Poor,9.8
COW_0200,Gir,9,426,1,Mid,Open,Concentrate,12.6,4,55,4.75,3.0,8.7,8.2,38.5,61,No,None,High Temp,28.4,57,Winter,Clean,6.5
COW_0201,Sahiwal,9,409,3,Late,Inseminated,Dry Fodder,24.6,2,37,2.4,2.6,8.5,6.5,37.9,43,Yes,FMD,High Temp,37.4,52,Monsoon,Clean,6.6
COW_0202,Gir,7,442,6,Dry,Open,Green Fodder,16.6,4,55,2.87,3.4,8.2,8.7,38.2,44,Yes,FMD,Low Activity,39.5,34,Monsoon,Poor,7.3
COW_0203,Holstein,6,349,6,Early,Inseminated,Concentrate,10.9,4,55,4.98,2.7,7.8,6.8,38.1,48,Yes,Mastitis,Normal,33.3,42,Winter,Clean,6.2
COW_0204,Jersey,9,371,6,Dry,Pregnant,Dry Fodder,19.0,2,38,1.89,7.4,4.5,9.4,38.7,65,No,None,Low Activity,16.4,73,Monsoon,Clean,18.3
COW_0205,Jersey,5,412,3,Early,Pregnant,Green Fodder,22.8,2,40,4.77,3.9,9.6,8.7,38.6,42,No,FMD,High Temp,29.4,89,Winter,Poor,5.6
COW_0206,Jersey,3,424,5,Late,Open,Green Fodder,14.6,3,34,1.73,5.9,5.1,9.4,39.0,40,Yes,Digestive Disorder,Normal,22.1,37,Summer,Clean,7.1
COW_0207,Gir,4,504,1,Early,Inseminated,Dry Fodder,17.6,3,58,3.9,5.7,4.4,8.5,37.8,66,Yes,FMD,High Temp,36.9,55,Winter,Clean,17.9
COW_0208,Gir,9,447,5,Early,Inseminated,Green Fodder,10.4,4,49,4.84,7.8,6.7,10.9,37.9,53,Yes,None,High Temp,15.9,41,Monsoon,Clean,13.1
COW_0209,Jersey,8,306,1,Mid,Pregnant,Green Fodder,12.8,3,57,2.15,7.1,6.0,7.6,37.6,62,No,Mastitis,High Temp,15.9,44,Monsoon,Moderate,6.1
COW_0210,Sahiwal,2,365,4,Dry,Pregnant,Concentrate,18.3,2,59,3.38,5.3,8.1,7.3,38.1,55,No,FMD,Low Activity,15.1,59,Winter,Moderate,14.2
COW_0211,Gir,6,380,2,Mid,Inseminated,Green Fodder,12.4,2,47,3.69,5.5,5.7,7.3,38.0,47,Yes,Digestive Disorder,Normal,29.9,61,Monsoon,Moderate,6.0
COW_0212,Gir,9,534,2,Mid,Open,Green Fodder,23.3,2,40,4.99,7.9,6.1,8.4,37.7,64,No,Mastitis,High Temp,26.8,72,Winter,Moderate,16.1
COW_0213,Sahiwal,9,451,5,Early,Open,Green Fodder,15.0,4,63,2.68,4.2,8.2,6.9,38.5,70,No,FMD,Normal,28.4,71,Summer,Poor,14.5
COW_0214,Holstein,2,568,3,Dry,Open,Concentrate,18.9,3,47,2.44,6.4,7.9,10.5,38.0,74,Yes,Digestive Disorder,Normal,27.6,34,Winter,Poor,12.4
COW_0215,Jersey,6,492,2,Dry,Open,Dry Fodder,14.0,4,48,1.96,4.4,4.0,8.9,38.2,42,Yes,FMD,Normal,38.2,41,Winter,Clean,9.7
COW_0216,Sahiwal,7,304,3,Mid,Inseminated,Concentrate,18.8,2,31,4.06,4.0,8.4,9.1,38.4,60,No,Digestive Disorder,Normal,27.5,56,Summer,Poor,15.3
COW_0217,Jersey,7,403,5,Early,Inseminated,Concentrate,10.7,3,40,3.85,2.2,8.8,10.9,39.1,55,Yes,FMD,High Temp,27.2,33,Winter,Clean,14.6
COW_0218,Holstein,6,537,5,Mid,Pregnant,Green Fodder,23.1,2,37,1.13,3.5,7.6,9.7,39.1,78,Yes,Mastitis,Low Activity,21.5,85,Summer,Poor,7.3
COW_0219,Sahiwal,6,407,6,Late,Inseminated,Concentrate,12.0,3,51,3.51,4.7,9.1,6.2,38.5,67,Yes,Mastitis,Normal,33.1,88,Summer,Moderate,6.9
COW_0220,Holstein,9,516,4,Mid,Open,Concentrate,14.4,4,30,3.32,3.0,4.8,8.0,38.0,50,Yes,Mastitis,High Temp,17.2,53,Summer,Moderate,5.9
COW_0221,Jersey,5,377,2,Late,Pregnant,Dry Fodder,11.5,3,50,3.76,7.9,9.2,10.7,37.7,41,No,FMD,Low Activity,39.7,67,Summer,Clean,5.1
COW_0222,Gir,3,383,4,Early,Pregnant,Dry Fodder,16.8,4,38,1.83,7.5,6.6,8.4,38.0,57,Yes,FMD,Low Activity,17.1,53,Summer,Clean,19.3
COW_0223,Holstein,8,396,6,Late,Inseminated,Dry Fodder,10.4,3,52,4.64,7.0,7.0,9.4,38.2,43,No,Mastitis,High Temp,39.0,50,Summer,Clean,18.5
COW_0224,Holstein,9,594,3,Early,Open,Dry Fodder,13.7,3,69,2.21,3.6,8.2,8.9,38.2,67,Yes,Digestive Disorder,Low Activity,23.1,82,Winter,Clean,7.8
COW_0225,Holstein,5,375,4,Early,Inseminated,Green Fodder,16.2,4,48,3.61,7.7,6.2,10.4,37.8,48,No,Mastitis,High Temp,22.7,80,Summer,Moderate,13.0
COW_0226,Jersey,7,556,5,Mid,Pregnant,Concentrate,20.8,4,33,3.1,4.7,5.5,10.2,38.1,50,No,Mastitis,Low Activity,29.8,44,Winter,Poor,10.8
COW_0227,Jersey,4,418,1,Late,Open,Green Fodder,13.8,2,64,1.26,6.9,7.0,8.1,38.5,77,Yes,Mastitis,High Temp,37.9,41,Summer,Clean,19.0
COW_0228,Gir,4,504,3,Dry,Pregnant,Dry Fodder,13.7,2,47,1.87,6.3,8.8,9.7,37.5,53,No,None,High Temp,34.4,88,Summer,Moderate,15.0
COW_0229,Sahiwal,7,405,3,Mid,Pregnant,Dry Fodder,10.9,3,47,1.41,2.1,6.0,11.8,38.1,44,No,None,High Temp,19.2,61,Summer,Clean,18.5
COW_0230,Holstein,2,327,4,Late,Pregnant,Concentrate,16.2,2,30,1.89,6.3,5.0,9.4,38.0,67,No,FMD,Normal,36.9,51,Winter,Clean,18.1
COW_0231,Gir,5,532,1,Dry,Pregnant,Dry Fodder,14.5,2,37,1.7,6.1,8.6,9.4,39.5,54,Yes,Digestive Disorder,Low Activity,18.2,59,Winter,Moderate,5.3
COW_0232,Holstein,9,371,6,Late,Open,Green Fodder,21.8,3,62,1.14,5.0,7.8,10.3,39.1,62,Yes,Digestive Disorder,Low Activity,29.5,49,Monsoon,Clean,18.3
COW_0233,Holstein,8,316,6,Late,Pregnant,Dry Fodder,23.1,3,62,3.0,3.2,4.1,8.3,37.9,53,Yes,Digestive Disorder,Low Activity,16.6,88,Winter,Moderate,7.3
COW_0234,Gir,4,382,5,Late,Inseminated,Green Fodder,15.0,4,39,2.67,4.5,4.9,8.6,39.2,78,Yes,FMD,High Temp,23.1,79,Winter,Poor,15.9
COW_0235,Gir,9,437,3,Early,Open,Dry Fodder,24.4,2,46,2.17,3.2,5.3,9.6,38.3,45,No,None,Normal,30.6,71,Winter,Moderate,13.7
COW_0236,Holstein,10,425,6,Mid,Open,Green Fodder,16.0,3,57,2.51,3.6,5.1,7.8,37.9,41,Yes,Mastitis,Low Activity,32.2,79,Summer,Poor,8.8
COW_0237,Gir,2,502,1,Mid,Pregnant,Concentrate,12.3,2,30,1.79,7.2,8.4,6.0,37.8,54,No,None,Low Activity,28.6,77,Summer,Poor,16.4
COW_0238,Gir,9,588,2,Late,Inseminated,Dry Fodder,19.0,4,50,3.12,7.9,9.4,11.5,38.3,47,No,Digestive Disorder,High Temp,18.8,62,Winter,Poor,19.0
COW_0239,Sahiwal,7,394,2,Early,Pregnant,Green Fodder,15.3,2,48,2.01,4.8,7.3,7.7,37.9,64,No,None,Low Activity,38.8,77,Monsoon,Poor,11.6
COW_0240,Gir,6,388,1,Dry,Open,Dry Fodder,18.9,3,57,2.64,7.8,10.0,7.4,38.9,67,Yes,None,Normal,17.7,70,Summer,Moderate,13.5
COW_0241,Sahiwal,2,354,2,Mid,Inseminated,Concentrate,22.6,2,57,3.47,4.6,9.9,10.9,38.8,48,Yes,Digestive Disorder,Normal,17.1,58,Summer,Moderate,7.2
COW_0242,Holstein,8,508,5,Early,Inseminated,Concentrate,23.0,3,42,1.87,4.2,9.0,7.7,37.7,44,No,FMD,Normal,38.4,55,Summer,Moderate,19.0
COW_0243,Holstein,4,366,1,Mid,Open,Dry Fodder,14.7,4,39,4.0,7.0,4.5,11.1,38.5,65,No,None,Normal,19.7,75,Winter,Clean,16.7
COW_0244,Sahiwal,2,485,1,Mid,Inseminated,Concentrate,12.7,2,31,4.98,5.9,8.1,8.3,38.2,79,No,Digestive Disorder,Normal,21.4,62,Monsoon,Poor,5.6
COW_0245,Jersey,7,370,2,Dry,Inseminated,Green Fodder,22.4,3,56,4.11,2.6,4.4,7.6,39.1,66,No,Mastitis,Normal,38.3,53,Winter,Clean,14.1
COW_0246,Holstein,7,591,1,Late,Inseminated,Dry Fodder,12.6,3,60,2.95,2.7,9.5,12.0,37.6,79,Yes,Digestive Disorder,Normal,37.0,88,Summer,Moderate,14.0
COW_0247,Sahiwal,10,333,4,Early,Inseminated,Concentrate,10.4,2,57,1.27,5.7,4.7,10.5,39.0,62,No,Mastitis,High Temp,23.0,63,Monsoon,Clean,8.5
COW_0248,Sahiwal,8,504,2,Late,Open,Concentrate,19.4,4,64,3.49,5.6,5.8,11.9,38.3,77,Yes,Digestive Disorder,Low Activity,36.7,76,Summer,Poor,19.8
COW_0249,Gir,6,598,6,Early,Inseminated,Green Fodder,15.9,2,42,1.99,7.7,4.5,6.1,38.9,40,No,FMD,Low Activity,21.7,71,Summer,Clean,14.7
COW_0250,Jersey,7,432,4,Early,Pregnant,Concentrate,10.2,4,45,3.38,3.0,4.6,8.8,39.1,47,No,Digestive Disorder,Normal,31.5,85,Winter,Poor,9.7
COW_0251,Sahiwal,2,342,5,Early,Inseminated,Green Fodder,23.6,4,41,2.79,3.4,6.0,10.7,37.6,41,Yes,Mastitis,High Temp,22.8,79,Summer,Poor,9.7
COW_0252,Sahiwal,9,336,5,Early,Open,Green Fodder,17.9,4,30,1.67,2.8,8.6,10.6,38.2,56,No,None,Normal,22.6,83,Winter,Clean,20.0
COW_0253,Sahiwal,10,554,6,Early,Open,Green Fodder,15.1,2,57,3.53,3.2,7.8,9.3,37.8,66,Yes,FMD,Normal,29.8,46,Winter,Clean,19.8
COW_0254,Gir,3,462,1,Late,Pregnant,Concentrate,16.0,2,53,2.88,4.0,8.5,6.7,38.2,47,No,Mastitis,Normal,23.0,34,Winter,Moderate,5.9
COW_0255,Gir,6,589,2,Late,Inseminated,Concentrate,17.4,3,56,3.03,2.6,8.3,6.0,38.5,74,Yes,None,Normal,20.7,85,Monsoon,Clean,11.3
COW_0256,Jersey,4,363,2,Early,Inseminated,Dry Fodder,14.1,3,58,1.87,3.8,5.5,11.7,38.9,52,No,FMD,High Temp,25.4,30,Monsoon,Moderate,16.2
COW_0257,Jersey,2,415,2,Dry,Open,Dry Fodder,17.6,2,65,3.1,6.4,5.4,10.6,38.3,75,Yes,Mastitis,High Temp,39.3,83,Monsoon,Poor,13.6
COW_0258,Holstein,7,566,1,Dry,Inseminated,Concentrate,18.8,3,65,4.85,5.9,9.8,6.5,37.5,52,Yes,Mastitis,Low Activity,23.6,78,Monsoon,Poor,9.2
COW_0259,Gir,5,481,1,Early,Open,Green Fodder,18.5,3,53,4.85,4.4,4.2,6.4,38.6,60,Yes,Mastitis,Normal,31.2,54,Monsoon,Clean,12.6
COW_0260,Jersey,4,340,4,Late,Inseminated,Green Fodder,17.0,3,64,4.38,6.9,4.4,6.7,37.7,74,Yes,FMD,High Temp,21.4,68,Summer,Poor,6.4
COW_0261,Sahiwal,3,380,2,Late,Inseminated,Green Fodder,11.0,2,70,4.69,4.5,7.2,6.0,38.1,79,No,Digestive Disorder,High Temp,34.7,44,Summer,Moderate,8.7
COW_0262,Holstein,3,558,5,Dry,Open,Green Fodder,21.4,4,31,4.18,3.8,6.1,7.0,39.4,62,Yes,None,Low Activity,17.3,41,Monsoon,Clean,7.2
COW_0263,Holstein,9,517,4,Late,Inseminated,Dry Fodder,17.7,2,33,1.51,5.0,7.6,6.6,39.0,54,Yes,Mastitis,Low Activity,39.3,31,Monsoon,Clean,12.0
COW_0264,Sahiwal,7,485,5,Early,Open,Dry Fodder,19.5,4,45,3.47,4.8,8.1,10.4,37.9,80,No,Digestive Disorder,Normal,26.6,79,Winter,Poor,12.6
COW_0265,Sahiwal,5,366,1,Mid,Pregnant,Dry Fodder,20.8,3,32,4.13,4.7,7.1,7.7,38.2,40,No,Digestive Disorder,Normal,32.9,41,Monsoon,Poor,15.0
COW_0266,Holstein,3,349,2,Early,Open,Dry Fodder,14.5,3,63,4.54,7.1,9.2,11.8,38.6,65,Yes,None,High Temp,19.5,90,Winter,Poor,6.6
COW_0267,Holstein,7,379,4,Early,Open,Concentrate,21.5,3,58,3.63,4.6,4.1,9.8,39.1,74,No,FMD,High Temp,33.1,62,Winter,Moderate,12.2
COW_0268,Sahiwal,8,473,3,Early,Open,Concentrate,10.9,2,56,2.61,4.4,9.9,9.9,37.6,44,No,Digestive Disorder,Normal,37.2,33,Winter,Moderate,13.2
COW_0269,Sahiwal,9,452,5,Mid,Inseminated,Green Fodder,16.9,4,57,2.8,5.1,8.6,8.8,38.3,52,Yes,FMD,Low Activity,30.8,31,Summer,Moderate,6.6
COW_0270,Gir,5,565,2,Dry,Open,Dry Fodder,20.8,4,49,3.28,4.6,4.3,7.7,38.6,56,Yes,None,Normal,17.0,49,Winter,Moderate,6.3
COW_0271,Holstein,4,531,1,Early,Inseminated,Green Fodder,12.6,4,67,1.74,7.8,4.8,10.1,38.9,68,No,None,High Temp,35.5,70,Summer,Poor,12.4
COW_0272,Gir,2,549,4,Early,Inseminated,Green Fodder,12.5,3,34,3.22,4.9,6.4,11.2,38.2,73,No,None,Normal,23.2,77,Winter,Clean,15.9
COW_0273,Sahiwal,3,583,6,Dry,Pregnant,Green Fodder,17.9,3,35,2.57,2.0,8.2,7.8,39.5,45,Yes,None,High Temp,35.6,33,Summer,Moderate,10.8
COW_0274,Jersey,3,538,2,Early,Inseminated,Dry Fodder,15.2,4,65,4.4,3.7,6.9,11.8,39.1,46,Yes,Mastitis,High Temp,38.6,42,Monsoon,Clean,19.9
COW_0275,Jersey,10,486,6,Mid,Open,Green Fodder,20.3,2,53,2.49,6.9,5.9,6.2,37.5,67,Yes,None,Normal,38.5,73,Winter,Poor,15.8
COW_0276,Sahiwal,9,400,5,Mid,Inseminated,Green Fodder,22.2,4,61,1.54,2.6,7.5,7.9,38.2,48,No,Digestive Disorder,Normal,27.1,48,Monsoon,Poor,16.4
COW_0277,Sahiwal,5,538,5,Dry,Open,Concentrate,13.5,3,33,2.29,3.7,4.3,6.2,37.8,70,No,FMD,Low Activity,28.6,58,Summer,Moderate,16.8
COW_0278,Holstein,9,492,5,Late,Pregnant,Concentrate,14.7,3,67,1.39,2.6,8.5,10.5,38.4,58,No,Mastitis,Low Activity,23.2,47,Winter,Moderate,9.9
COW_0279,Holstein,5,369,1,Late,Open,Concentrate,17.2,4,50,3.53,6.4,9.8,11.7,38.3,44,Yes,FMD,Low Activity,21.3,80,Monsoon,Moderate,8.5
COW_0280,Sahiwal,2,418,4,Mid,Open,Dry Fodder,24.9,2,41,2.59,2.8,4.2,7.4,38.2,69,No,Digestive Disorder,High Temp,34.6,32,Summer,Poor,11.9
COW_0281,Jersey,7,429,5,Late,Pregnant,Green Fodder,12.4,4,60,4.03,6.2,7.8,11.1,38.8,62,Yes,None,High Temp,27.9,65,Summer,Poor,18.2
COW_0282,Sahiwal,3,437,2,Late,Pregnant,Green Fodder,10.6,2,61,2.43,6.6,5.7,8.4,38.5,64,Yes,Mastitis,Low Activity,21.1,53,Monsoon,Clean,11.3
COW_0283,Jersey,9,345,1,Late,Inseminated,Concentrate,22.5,3,68,1.54,2.8,9.5,11.8,39.4,43,Yes,FMD,Normal,17.0,31,Summer,Poor,16.8
COW_0284,Jersey,2,519,3,Late,Open,Green Fodder,21.1,3,70,1.47,6.9,7.6,6.9,38.8,43,Yes,Digestive Disorder,Normal,23.0,63,Monsoon,Clean,11.6
COW_0285,Jersey,2,481,4,Late,Inseminated,Green Fodder,14.9,2,47,4.09,3.2,9.4,7.2,38.3,50,No,Digestive Disorder,Normal,17.8,43,Winter,Poor,7.9
